question,option1,option2,option3,option4,answer,explanation
[cite_start]"循環型社会形成推進基本法に基づき提唱された「3R」に含まれないものはどれか？","Recycle（再生利用）","Reuse（再使用）","Reduce（発生抑制）","Refuse（拒否）",3,"3RはReduce、Reuse、Recycleの3つです。[cite: 1]"
[cite_start]"古物営業法における「変更の届出」は、変更があった日から何日以内に行わなければならないか？","7日以内","10日以内","14日以内","30日以内",2,"変更日から14日以内に公安委員会に届け出る必要があります。[cite: 2]"
[cite_start]"買取総額が1万円未満であっても、本人確認義務が免除されない（必ず確認が必要な）品目はどれか？","衣類","ゲームソフト","家具","雑貨",1,"ゲームソフト、書籍、CD/DVD、自動二輪車などは、1万円未満でも本人確認が必須です。[cite: 7]"
[cite_start]"古物商が営業を廃止した場合、許可証はいつまでに返納しなければならないか？","直ちに","10日以内","14日以内","30日以内",1,"廃業等の理由が生じた日から10日以内に返納する必要があります。[cite: 4]"
[cite_start]"無許可で古物営業を行った場合の罰則として正しいものはどれか？","1年以下の懲役または50万円以下の罰金","3年以下の懲役または100万円以下の罰金","6ヶ月以下の懲役または30万円以下の罰金","罰則はない",1,"無許可営業は最も重い罰則の一つで、3年以下の懲役または100万円以下の罰金です。[cite: 2]"
[cite_start]"古物営業法で定義される「古物」の13区分に含まれないものはどれか？","美術品類","自動車","医療機器","書籍",2,"医療機器は古物の13区分には含まれません。[cite: 2]"
[cite_start]"古物商の許可を受けられない「欠格事由」に該当するものはどれか？","外国籍である","住居不定者","借金がある","過去に交通違反をした",1,"「住居不定者」は欠格事由に該当し、許可を受けられません。[cite: 2]"
[cite_start]"営業所の「管理者」に関する記述として正しいものはどれか？","未成年者でもなることができる","店舗ごとに1名選任する必要がある","管理者は兼任ですべての店舗を見ることができる","資格試験の合格が必須である",1,"営業所（店舗）ごとに1名の管理者を置くことが義務付けられています。[cite: 4]"
[cite_start]"複数の区分の古物を扱う場合、店舗に掲示する「標識（プレート）」には何を記載すべきか？","取り扱うすべての区分","主として取り扱う1つの区分","売り上げが最も高い区分","記載は任意である",1,"2つ以上の区分を取り扱う場合は、「主として取り扱う古物に係る区分の1つのみ」を表記します。[cite: 4]"
[cite_start]"古物の買取時、原則として本人確認義務が発生する金額（総額）はいくらか？","1,000円以上","3,000円以上","5,000円以上","1万円以上",3,"原則として、一回の買取総額が「1万円以上」の場合に本人確認が必要です。[cite: 5]"
[cite_start]"買取総額が1万円未満でも、本人確認が必要な「例外品目」に含まれるものはどれか？","衣類","ブランドバッグ","書籍（本）","家具",2,"書籍、ゲームソフト、CD/DVD、自動二輪車（原付含む）は、1万円未満でも本人確認が必須です。[cite: 5]"
[cite_start]"対面での本人確認において、相手に記入してもらう「署名」に必要な項目はどれか？","氏名のみ","氏名・電話番号","住所・氏名・職業・年齢","住所・氏名・生年月日",2,"住所・氏名・職業・年齢の4項目を帳簿等に記入してもらう必要があります。[cite: 5]"
[cite_start]"不正品（盗品など）の疑いがある古物を発見した場合、とるべき対応は？","直ちに警察官に申告する","買取を拒否して客を帰す","一旦預かって様子を見る","同業者に相談する",0,"不正品ではないかと疑いを持った場合には、直ちに警察へ申告する義務があります。[cite: 5]"
[cite_start]"偽ブランド品（コピー品）と知りながら販売した場合に問われる罪はどれか？","窃盗罪","横領罪","詐欺罪","器物損壊罪",2,"偽物と知っていながら販売した場合、詐欺罪（10年以下の懲役）にあたります。[cite: 5]"
[cite_start]"インターネットで古物営業を行う際、ホームページに表示しなければならない許可番号の桁数は？","8桁","10桁","12桁","13桁",2,"公安委員会の名称と共に、12桁の許可証番号を表示する必要があります。[cite: 6]"
[cite_start]"インターネットでの古物営業を開始・変更・終了する場合、公安委員会への届出期限は？","開始等の3日前まで","開始等の日から1週間以内","開始等の日から14日以内","開始等の日から30日以内",2,"URLの届出や変更は、開始または変更後14日以内に行う必要があります。[cite: 5]"
[cite_start]"古物を「販売」する際に、相手の住所・氏名等の記録義務がある品目はどれか？","衣類","1万円以上の時計・宝飾品","家具・家電","すべての古物",1,"販売時に記録が必要なのは、美術品類、時計・宝飾品類、自動車、自動二輪車などです。[cite: 6]"
[cite_start]"顧客の自宅などを訪問して買取を行う「行商」をする際に携帯必須なものは？","住民票の写し","古物許可証（または行商従業者証）","名刺","印鑑証明書",1,"行商を行う場合、許可証または行商従業者証を携帯する必要があります。[cite: 6]"
[cite_start]"「仮設店舗」を出して買取を行う場合、管轄警察署への届出期限は？","当日まで","前日まで","3日前まで","1週間前まで",2,"場所を管轄する警察署に、営業日の3日前までに日時・場所の届出をする必要があります。[cite: 6]"
[cite_start]"訪問購入（押し買い）において、クーリング・オフが適用される期間は？","契約から3日間","契約から8日間","契約から14日間","契約から30日間",1,"売買契約を結んだ後でも、書面受領日から8日間は無条件で申し込みの撤回が可能です。[cite: 6]"
[cite_start]"訪問購入の規制対象外（クーリング・オフできないもの）に含まれる品目は？","貴金属","ブランドバッグ","着物","家具",3,"家具、大型家電、書籍、CD/DVD等は規制対象外となります。[cite: 6]"
[cite_start]"警察から手配書として回ってくる「品触れ（しなぶれ）」の保存期間は？","3ヶ月","6ヶ月","1年","3年",1,"品触れを受け取ったら、受取日を記載し6ヶ月間保存する義務があります。[cite: 7]"
[cite_start]"買い取った品物が盗品だった場合、被害者が無償で返還請求できる期間は？","盗難から1年","盗難から2年","盗難から3年","盗難から5年",1,"盗難または遺失の時から2年間、被害者は古物商に対し無償で返還を請求できます。[cite: 8]"
