番号,キーワード,重要ポイント,補足情報・その他
1,循環型社会形成推進基本法,"大量生産・大量消費・大量廃棄型社会を見直すため、2000年に成立 [1]",
2,3Rの考え方,"Reuse (再利用)・Reduce (抑制)・Recycle (再資源化) [1]",
3,古物営業の定義,"①古物商 ②古物市場主 ③古物競りあっせん業者の3つ [1]","①②は公安委員会の許可、③は届出が必要 [1]"
8,古物の定義,"一度使用された物品、未使用だが使用のために取引された物品など [2]","金券や切手、美術品も含まれる [2]"
9,古物の区分,"13種類に分類される。変更がある場合は14日以内に届け出る [2]",
10,無許可営業の罰則,"3年以下の懲役または100万円以下の罰金 [2]",
19,欠格事由,"破産者（復権前）、禁錮以上の刑、暴力団員などは許可を受けられない [3]",
21,管理者の設置,"1営業所に1名の管理者を置く。変更届は14日以内 [4]",
23,許可証の返納,"廃業時などは10日以内に返納。違反は10万円以下の罰金 [5]",
26,本人確認の原則,"1回の買取総額が1万円以上の場合は義務 [5]",
27,1万円未満でも確認が必要な物品,"ゲームソフト、CD/DVD、書籍、自動二輪・原付 [6]","万引き等の被害が多いため例外的に必要 [6]"
32,不正品の申告義務,"盗品等の疑いがある場合は、直ちに警察へ申告しなければならない [7]",
33,コピー品の販売,"偽物と知りつつ販売すると詐欺罪（10年以下の懲役）になる可能性がある [7]","商標法違反は5年以下の懲役または500万円以下の罰金 [7]"
36,インターネット営業の届出,"URLの開始や変更は14日以内に届け出る [8]",
39,販売時に記録が必要な物品,"1万円以上の美術品、時計・宝飾品、自動車、自動二輪・原付 [9]",
42,営業制限（行商）,"仮設店舗での買取は、3日前までに警察署へ届け出れば可能 [9, 10]",
47,クーリング・オフ,"訪問購入の場合、契約から8日間は無条件で解除可能 [10]",
52,警察の権限,"①品触れの発行 ②差止め（30日以内の保管命令） ③立ち入り調査 [11]",
56,盗品・遺失物の回復,"被害者は2年間、無償で返還を請求できる（古物商が競売で入手した場合は代価弁償が必要） [12]",
64,家電4品目,"エアコン、テレビ、冷蔵庫・冷凍庫、洗濯機・衣類乾燥機 [13]","家電リサイクル法の対象 [13]"
67,PSCマーク制度,"家庭用圧力なべ、ヘルメット、登山用ロープ、石油ストーブなどはマークがないと販売不可 [14, 15]",
