番号,Từ khóa,Điểm quan trọng,Thông tin bổ sung
1,Luật cơ bản xây dựng xã hội tuần hoàn,"Được ban hành năm 2000 để xem xét lại xã hội sản xuất hàng loạt - tiêu dùng hàng loạt - thải bỏ hàng loạt",
2,Khái niệm 3R,"Reuse (Tái sử dụng) - Reduce (Giảm thiểu) - Recycle (Tái chế)",
3,Định nghĩa kinh doanh đồ cũ,"3 loại: ①Thương nhân đồ cũ ②Chủ chợ đồ cũ ③Người môi giới đấu giá đồ cũ","①② cần giấy phép của Ủy ban An ninh công cộng, ③ cần thông báo"
8,Định nghĩa đồ cũ,"Vật phẩm đã sử dụng một lần, vật phẩm chưa sử dụng nhưng đã giao dịch để sử dụng","Bao gồm cả phiếu quà tặng, tem, đồ mỹ thuật"
9,Phân loại đồ cũ,"Được phân thành 13 loại. Nếu có thay đổi phải thông báo trong vòng 14 ngày",
10,Hình phạt kinh doanh không phép,"Phạt tù dưới 3 năm hoặc phạt tiền dưới 1.000.000 yên",
19,Lý do không đủ điều kiện,"Người phá sản (chưa phục hồi), người bị án tù trở lên, thành viên băng đảng không được cấp phép",
21,Bổ nhiệm quản lý,"Mỗi cửa hàng phải có 1 quản lý. Thông báo thay đổi trong 14 ngày",
23,Trả lại giấy phép,"Khi ngừng kinh doanh phải trả lại trong 10 ngày. Vi phạm bị phạt dưới 100.000 yên",
26,Nguyên tắc xác minh danh tính,"Bắt buộc khi tổng giá trị mua từ 10.000 yên trở lên",
27,Vật phẩm cần xác minh dù dưới 10.000 yên,"Phần mềm game, CD/DVD, sách, xe máy/xe ga","Cần thiết vì thường bị trộm cắp"
32,Nghĩa vụ báo cáo hàng gian,"Khi nghi ngờ là đồ ăn cắp phải báo ngay cho cảnh sát",
33,Bán hàng nhái,"Biết là hàng giả mà vẫn bán có thể bị tội lừa đảo (phạt tù dưới 10 năm)","Vi phạm luật thương hiệu: phạt tù dưới 5 năm hoặc phạt tiền dưới 5.000.000 yên"
36,Thông báo kinh doanh internet,"Phải thông báo URL mới hoặc thay đổi trong 14 ngày",
39,Vật phẩm cần ghi chép khi bán,"Đồ mỹ thuật từ 10.000 yên, đồng hồ/trang sức, ô tô, xe máy/xe ga",
42,Hạn chế kinh doanh (hành thương),"Mua hàng tại cửa hàng tạm có thể thực hiện nếu thông báo cho đồn cảnh sát 3 ngày trước",
47,Cooling-off,"Với mua hàng tại nhà, có thể hủy vô điều kiện trong 8 ngày kể từ khi ký hợp đồng",
52,Quyền hạn của cảnh sát,"①Phát hành thông báo hàng ②Lệnh giữ hàng (trong 30 ngày) ③Kiểm tra tại chỗ",
56,Thu hồi đồ ăn cắp/thất lạc,"Nạn nhân có thể yêu cầu trả lại miễn phí trong 2 năm (nếu thương nhân mua tại đấu giá thì cần bồi thường giá)",
64,4 loại đồ gia dụng,"Điều hòa, TV, tủ lạnh/tủ đông, máy giặt/máy sấy quần áo","Đối tượng của Luật tái chế đồ gia dụng"
67,Chế độ nhãn PSC,"Nồi áp suất gia đình, mũ bảo hiểm, dây leo núi, lò sưởi dầu không thể bán nếu không có nhãn",
