No,Keyword,Important Point,Additional Info
1,Basic Act for Establishing Recycling-Based Society,"Enacted in 2000 to review mass production, mass consumption, mass disposal society",
2,3R Concept,"Reuse, Reduce, Recycle",
3,Antique Business Definition,"3 types: ①Antique Dealer ②Antique Market Operator ③Antique Auction Intermediary","①② require Public Safety Commission license, ③ requires notification"
8,Antique Definition,"Items used once, unused items traded for use, etc.","Includes gift certificates, stamps, art objects"
9,Antique Categories,"Classified into 13 types. Changes must be reported within 14 days",
10,Unlicensed Operation Penalty,"Up to 3 years imprisonment or up to 1,000,000 yen fine",
19,Disqualification Reasons,"Bankrupts (before rehabilitation), those sentenced to imprisonment, gang members cannot obtain license",
21,Manager Appointment,"1 manager per store. Change notification within 14 days",
23,License Return,"Return within 10 days when closing business. Violation: up to 100,000 yen fine",
26,ID Verification Principle,"Mandatory when total purchase is 10,000 yen or more",
27,Items Requiring ID Under 10,000 Yen,"Game software, CD/DVD, books, motorcycles/scooters","Required due to high theft rates"
32,Stolen Goods Reporting Obligation,"Must report to police immediately when suspecting stolen goods",
33,Counterfeit Sales,"Knowingly selling counterfeits may constitute fraud (up to 10 years imprisonment)","Trademark violation: up to 5 years or up to 5,000,000 yen fine"
36,Internet Business Notification,"URL start or change must be reported within 14 days",
39,Items Requiring Sales Records,"Art over 10,000 yen, watches/jewelry, automobiles, motorcycles/scooters",
42,Business Restrictions (Mobile),"Temporary store purchasing possible with 3-day advance police notification",
47,Cooling-Off,"For door-to-door purchase, unconditional cancellation within 8 days from contract",
52,Police Authority,"①Issue stolen goods notice ②Hold order (within 30 days) ③On-site inspection",
56,Stolen/Lost Item Recovery,"Victims can request free return for 2 years (compensation required if dealer bought at auction)",
64,4 Home Appliances,"Air conditioner, TV, refrigerator/freezer, washer/dryer","Subject to Home Appliance Recycling Law"
67,PSC Mark System,"Home pressure cooker, helmet, climbing rope, kerosene heater cannot be sold without mark",
