id,question_vi,option1_vi,option2_vi,option3_vi,option4_vi,explanation_vi
1,"Theo Luật cơ bản về xây dựng xã hội tuần hoàn, điều nào KHÔNG nằm trong 3R?","Recycle (Tái chế)","Reuse (Tái sử dụng)","Reduce (Giảm thiểu)","Refuse (Từ chối)","3R bao gồm Reduce, Reuse, Recycle."
2,"Theo Luật kinh doanh đồ cũ, Thông báo thay đổi phải được thực hiện trong bao nhiêu ngày?","Trong 7 ngày","Trong 10 ngày","Trong 14 ngày","Trong 30 ngày","Phải thông báo cho Ủy ban An ninh công cộng trong vòng 14 ngày."
3,"Mặt hàng nào bắt buộc xác minh danh tính dù tổng giá trị mua dưới 10.000 yên?","Quần áo","Phần mềm game","Đồ nội thất","Tạp hóa","Phần mềm game, sách, CD/DVD, xe máy bắt buộc xác minh danh tính."
4,"Khi thương nhân đồ cũ ngừng kinh doanh, giấy phép phải trả lại trong thời hạn nào?","Ngay lập tức","Trong 10 ngày","Trong 14 ngày","Trong 30 ngày","Phải trả lại trong vòng 10 ngày kể từ ngày ngừng kinh doanh."
5,"Hình phạt cho việc kinh doanh đồ cũ không có giấy phép là gì?","Tù dưới 1 năm hoặc phạt dưới 500.000 yên","Tù dưới 3 năm hoặc phạt dưới 1.000.000 yên","Tù dưới 6 tháng hoặc phạt dưới 300.000 yên","Không có hình phạt","Kinh doanh không phép: tù dưới 3 năm hoặc phạt dưới 1.000.000 yên."
6,"Mặt hàng nào KHÔNG nằm trong 13 loại đồ cũ theo Luật kinh doanh đồ cũ?","Đồ mỹ thuật","Ô tô","Thiết bị y tế","Sách","Thiết bị y tế không nằm trong 13 loại đồ cũ."
7,"Điều nào thuộc lý do không đủ điều kiện để được cấp phép thương nhân đồ cũ?","Là người nước ngoài","Người không có nơi cư trú cố định","Có nợ","Từng vi phạm giao thông","Người không có nơi cư trú cố định không được cấp phép."
8,"Mô tả đúng về Quản lý cửa hàng là gì?","Người chưa thành niên cũng có thể làm","Mỗi cửa hàng phải chỉ định 1 người","Quản lý có thể kiêm nhiệm tất cả cửa hàng","Bắt buộc phải đỗ kỳ thi chứng chỉ","Mỗi cửa hàng bắt buộc phải có 1 quản lý."
9,"Khi kinh doanh nhiều loại đồ cũ, biển hiệu cửa hàng phải ghi gì?","Tất cả các loại kinh doanh","Một loại chính","Loại có doanh thu cao nhất","Tùy ý","Khi kinh doanh từ 2 loại trở lên, chỉ ghi một loại chính."
10,"Khi mua đồ cũ, nghĩa vụ xác minh danh tính phát sinh từ tổng số tiền bao nhiêu?","Từ 1.000 yên","Từ 3.000 yên","Từ 5.000 yên","Từ 10.000 yên","Cần xác minh danh tính khi tổng giá trị mua từ 10.000 yên trở lên."

