id,question_zh,option1_zh,option2_zh,option3_zh,option4_zh,explanation_zh
1,"根据《循环型社会形成推进基本法》，哪项不属于'3R'？","Recycle（再生利用）","Reuse（再使用）","Reduce（减量）","Refuse（拒绝）","3R包括Reduce、Reuse、Recycle。"
2,"根据《古物营业法》，'变更申报'必须在多少天内提交？","7天内","10天内","14天内","30天内","必须在变更日起14天内向公安委员会申报。"
3,"即使收购总额不足1万日元，哪种物品也必须进行身份确认？","服装","游戏软件","家具","杂货","游戏软件、书籍、CD/DVD、摩托车必须进行身份确认。"
4,"古物商停止营业时，许可证必须在什么时候归还？","立即","10天内","14天内","30天内","必须在停业原因发生之日起10天内归还。"
5,"无证经营古物业务的处罚是什么？","1年以下有期徒刑或50万日元以下罚款","3年以下有期徒刑或100万日元以下罚款","6个月以下有期徒刑或30万日元以下罚款","无处罚","无证经营：3年以下有期徒刑或100万日元以下罚款。"
6,"哪项不属于《古物营业法》规定的13类'古物'？","美术品","汽车","医疗器械","书籍","医疗器械不属于古物的13个类别。"
7,"哪项属于无法获得古物商许可的'不合格事由'？","外国籍","无固定住所者","有债务","曾有交通违规","无固定住所者属于不合格事由。"
8,"关于店铺'管理者'的正确描述是什么？","未成年人也可以担任","每个店铺必须指定1名","管理者可以兼任所有店铺","必须通过资格考试","每个店铺必须指定1名管理者。"
9,"经营多种类别古物时，店铺招牌应标注什么？","所有经营类别","一个主要类别","销售额最高的类别","可选","经营2个以上类别时，只标注一个主要类别。"
10,"收购古物时，身份确认义务从总金额多少开始产生？","1,000日元以上","3,000日元以上","5,000日元以上","10,000日元以上","总额达到1万日元以上时需要身份确认。"

11,"哪种例外物品即使不足1万日元也需要身份确认？","服装","品牌包","书籍","家具","书籍、游戏软件、CD/DVD、摩托车必须进行身份确认。"
12,"当面身份确认时，签名需要哪些信息？","仅姓名","姓名和电话","地址、姓名、职业、年龄","地址、姓名、出生日期","需要4项：地址、姓名、职业、年龄。"
13,"发现古物疑似赃物时该怎么办？","立即报警","拒绝收购让顾客离开","暂时保管观察","咨询同事","怀疑是赃物时必须立即报警。"
14,"明知是假冒品牌商品仍然销售会被追究什么罪？","盗窃罪","侵占罪","诈骗罪","毁坏财物罪","明知是假货仍销售构成诈骗罪。"
15,"网上经营古物时，网站显示的许可证号必须是多少位？","8位","10位","12位","13位","必须显示公安委员会名称和12位许可证号。"
16,"开始/变更/结束网上古物经营时的申报期限？","3天前","1周内","14天内","30天内","URL申报必须在开始或变更后14天内。"
17,"销售古物时哪些物品需要记录买方地址和姓名？","服装","1万日元以上的手表、珠宝","家具、家电","所有古物","销售时需记录：美术品、手表/珠宝、汽车、摩托车。"
18,"上门收购（行商）时必须携带什么？","户籍副本","古物许可证或行商从业者证","名片","印章证明","行商时必须携带许可证或行商从业者证。"
19,"开设临时店铺收购时，向管辖警察署申报的期限是？","当天","前一天","3天前","1周前","必须在营业日3天前向管辖警察署申报。"
20,"上门收购的冷静期是多长时间？","合同签订后3天","合同签订后8天","合同签订后14天","合同签订后30天","收到书面文件后8天内可无条件解除。"

21,"哪种物品不属于上门收购规制对象（不适用冷静期）？","贵金属","品牌包","和服","家具","家具、大型家电、书籍、CD/DVD不属于规制对象。"
22,"警察发出的'品触'（赃物通知）保存期限是多久？","3个月","6个月","1年","3年","收到品触后必须记录收到日期并保存6个月。"
23,"如果收购的物品是赃物，受害者可以在多长时间内要求免费归还？","被盗后1年","被盗后2年","被盗后3年","被盗后5年","被盗后2年内受害者可要求免费归还。"
24,"哪种情况不需要更换古物商许可证？","店铺名称变更","管理者变更","代表地址变更","法人代表变更","管理者变更只需变更申报，不需要更换许可证。"
25,"哪种《古物营业法》违规可能导致停业处分？","无证行商","不遵从指示处分","账簿字迹潦草","不向顾客问好","不遵从指示处分可能导致停业处分。"
26,"非当面收购时哪种身份确认方法不被接受？","发送本人限定收取邮件并确认送达","收到户籍副本（不可转寄邮件）","收到带电子签名的邮件","仅收到驾照复印件","仅发送驾照复印件不够，需要结合挂号信等。"
