id,question_en,option1_en,option2_en,option3_en,option4_en,explanation_en
1,"Which is NOT included in '3R' under the Basic Act for Establishing a Recycling-Based Society?","Recycle","Reuse","Reduce","Refuse","3R consists of Reduce, Reuse, and Recycle."
2,"Under the Antique Business Law, within how many days must a 'change notification' be submitted?","Within 7 days","Within 10 days","Within 14 days","Within 30 days","Must notify the Public Safety Commission within 14 days."
3,"Which item requires identity verification even if total purchase is under 10,000 yen?","Clothing","Game software","Furniture","Miscellaneous goods","Game software, books, CD/DVD, motorcycles require ID verification."
4,"When an antique dealer ceases business, by when must the license be returned?","Immediately","Within 10 days","Within 14 days","Within 30 days","Must return within 10 days from the date of cessation."
5,"What is the penalty for operating antique business without a license?","Up to 1 year prison or up to 500,000 yen fine","Up to 3 years prison or up to 1,000,000 yen fine","Up to 6 months prison or up to 300,000 yen fine","No penalty","Unlicensed operation: up to 3 years prison or up to 1,000,000 yen fine."
6,"Which is NOT in the 13 categories of 'antiques' under the Antique Business Law?","Art objects","Automobiles","Medical equipment","Books","Medical equipment is not in the 13 antique categories."
7,"Which is a 'disqualification reason' for antique dealer license?","Being a foreigner","Person without fixed residence","Having debt","Past traffic violations","Person without fixed residence is disqualified."
8,"Which statement about store 'managers' is correct?","Minors can serve","One manager per store required","Manager can oversee all stores","Must pass certification exam","Each store must have one designated manager."
9,"When dealing multiple antique categories, what should the store sign display?","All categories","One main category","Highest revenue category","Optional","When handling 2+ categories, display only one main category."
10,"At what amount does identity verification become mandatory when purchasing antiques?","From 1,000 yen","From 3,000 yen","From 5,000 yen","From 10,000 yen","ID verification required when total is 10,000 yen or more."

11,"Which exception item requires ID verification even under 10,000 yen?","Clothing","Brand bags","Books","Furniture","Books, game software, CD/DVD, motorcycles require ID verification."
12,"What information is needed for signature during in-person ID verification?","Name only","Name and phone","Address, name, occupation, age","Address, name, date of birth","4 items needed: address, name, occupation, age."
13,"What to do when suspecting antiques are stolen goods?","Report to police immediately","Refuse purchase and let customer leave","Hold temporarily for observation","Consult colleagues","Must report to police immediately when suspecting stolen goods."
14,"What crime applies when knowingly selling counterfeit brand goods?","Theft","Embezzlement","Fraud","Property damage","Knowingly selling counterfeits constitutes fraud."
15,"How many digits must the license number displayed on website have for online antique business?","8 digits","10 digits","12 digits","13 digits","Must display Public Safety Commission name and 12-digit license number."
16,"Deadline for notification when starting/changing/ending online antique business?","3 days before","Within 1 week after","Within 14 days after","Within 30 days after","URL notification must be within 14 days after start or change."
17,"Which items require recording buyer's address and name when selling antiques?","Clothing","Watches/jewelry over 10,000 yen","Furniture/appliances","All antiques","Recording needed for: art, watches/jewelry, automobiles, motorcycles."
18,"What must be carried when doing mobile purchasing (visiting customers)?","Copy of residence certificate","Antique license or mobile employee ID","Business card","Seal certificate","Must carry license or mobile employee ID card."
19,"Deadline for notifying police when opening temporary store for purchasing?","Same day","Day before","3 days before","1 week before","Must notify local police station 3 days before business day."
20,"How long is the cooling-off period for door-to-door purchasing?","3 days from contract","8 days from contract","14 days from contract","30 days from contract","Can cancel unconditionally within 8 days from receiving document."

21,"Which item is NOT subject to door-to-door purchase regulations (no cooling-off)?","Precious metals","Brand bags","Kimono","Furniture","Furniture, large appliances, books, CD/DVD are not subject to regulations."
22,"How long must police 'stolen goods notice' be kept?","3 months","6 months","1 year","3 years","Must record receipt date and keep for 6 months."
23,"How long can victims request free return of stolen goods?","1 year from theft","2 years from theft","3 years from theft","5 years from theft","Victims can request free return within 2 years from theft."
24,"Which case does NOT require license reissuance?","Store name change","Manager change","Representative address change","Corporate representative change","Manager change only needs change notification, not license reissuance."
25,"Which Antique Business Law violation can result in business suspension?","Mobile business without license","Not following directive orders","Poor handwriting in records","Not greeting customers","Not following directive orders can result in business suspension."
26,"Which ID verification method is NOT accepted for non-face-to-face purchases?","Send registered mail to recipient only and confirm delivery","Receive residence certificate copy (non-forwarding mail)","Receive email with electronic signature","Only receive driver's license copy","Only sending license copy is insufficient, must combine with registered mail."
27,"What to do when records (transaction documents) are lost or damaged?","Report to police chief immediately","Suspend business until found","Rewrite from memory in new book","Nothing needed","Must report to police chief immediately when records are lost."
28,"When antique dealer buys at auction in good faith but item is stolen, what can be claimed?","No obligation to return","Must return for free","Return if compensated for price paid","Return if paid half","At auction purchase, can request compensation for price paid before returning."
29,"Which statement about police 'stolen goods notice' is INCORRECT?","Must record receipt date","Must keep for 6 months","Must report immediately if matching item found","Violation only results in suspension, no penalty","Violation can result in up to 6 months prison or up to 300,000 yen fine."
30,"Which statement about police on-site inspection is correct?","Cannot enter without business owner consent","Can refuse without prior notice","Refusal may result in up to 100,000 yen fine","Can refuse without court order","No right to refuse police inspection; refusal results in up to 100,000 yen fine."

31,"Maximum duration of police hold order when suspecting stolen antiques?","10 days","30 days","60 days","90 days","Hold order period is within 30 days."
32,"Which is NOT among the 4 items under Home Appliance Recycling Law?","Home air conditioner","Microwave","Refrigerator","Washing machine","4 appliances: AC, TV, refrigerator/freezer, washer/dryer. Microwave not included."
33,"How is disposal handled for PC with PC Recycling Mark?","Manufacturer collects without new fee","Can dispose as bulky waste to local government","Must pay recycling fee at post office","Store must buy back","PC with recycling mark can be collected without new fee."
34,"Which item cannot be sold without PSC Mark under Consumer Product Safety Law?","Bicycle","Home pressure cooker","Gas stove","Desk lamp","Home pressure cooker, motorcycle helmet cannot be sold without PSC mark."
35,"Which item is 'Special Specified Product' (diamond shape) with higher danger in PSC mark?","Climbing rope","Kerosene heater","Home pressure cooker","Motorcycle helmet","Kerosene heater, oil equipment, baby beds are Special Specified Products (diamond)."
36,"Amount threshold for high-risk transactions requiring records under Crime Proceeds Transfer Prevention Law?","Cash over 1,000,000 yen","Cash over 2,000,000 yen","All precious metal transactions","Credit card over 2,000,000 yen","Applies to cash transactions over 2,000,000 yen for precious metals."
37,"What is prohibited when reuse shop visits customer's home to purchase?","Requesting sale of items not pre-arranged","Presenting business card and license","Providing contract","Explaining cooling-off","Prohibited: unannounced visits or soliciting items not pre-arranged."
38,"How long can consumer exercise right to refuse delivery in door-to-door purchase?","Contract day only","3 days from contract","During cooling-off period (8 days)","Until receiving payment","Can refuse delivery during cooling-off period."
39,"Which item is subject to door-to-door purchase regulations (cooling-off applicable)?","Automobile","Large furniture","Refrigerator","Precious metals (rings)","Automobiles, furniture, appliances, books, CD exempt; precious metals are subject."
40,"How long after license revocation before antique dealer can reapply?","After 1 year","After 2 years","After 3 years","After 5 years","Cannot apply for license within 5 years after revocation."

41,"Which does NOT fit the definition of 'antiques' under Antique Business Law?","Items used once","Unused items traded for use","Items with some maintenance","Waste that cannot serve original purpose","Waste that cannot serve original purpose is not antiques."
